run_date,trend_phrase,yake_score
2026-05-30,furniture restoration,4.869639028875149e-06
2026-05-30,wood carving,5.044429656596881e-06
2026-05-30,furniture makeover,5.068489044841942e-06
2026-05-30,angle grinder,6.035208265417195e-06
2026-05-30,tool restoration,6.2163719216448e-06
2026-05-30,hammer drill,7.515740751474996e-06
2026-05-30,furniture furniture,7.797867327796914e-06
2026-05-30,home decor,7.860025981621656e-06
2026-05-30,furniture flip,9.11325373246897e-06
2026-05-30,rotary hammer,9.324061040920385e-06
2026-05-30,oscillating tool,9.3985089095993e-06
2026-05-30,restoration furniture,1.0203053203357456e-05
2026-05-30,cordless drill,1.0362300639465496e-05
2026-05-30,woodworking woodworking,1.1672421957975015e-05
2026-05-30,makeover furniture,1.1758894584033307e-05
2026-05-30,furniture flipping,1.2430769661030627e-05
2026-05-30,flip furniture,1.2530723882144834e-05
2026-05-30,impact driver,1.3798720110825667e-05
2026-05-30,restoration restoration,1.3852716656168339e-05
2026-05-30,thrift flip,1.398041243971989e-05
2026-05-30,cabinet makeover,1.8224621919407836e-05
2026-05-30,power tool,1.8721146174911286e-05
2026-05-30,multi tool,2.1384358774071985e-05
2026-05-30,restoration project,2.167957162097437e-05
2026-05-30,antique restoration,2.38931031680606e-05
